distance_km,budget_limit,num_people,rainfall_mm,road_access_rating,transport_mode
5.4,2518.58,2,6.32,2,bike
6.83,1952.91,2,0.66,3,bike
4.83,1114.96,3,8.99,5,auto
142.82,1174.41,5,15.3,3,bus
4.09,2209.73,2,13.68,5,auto
5.84,953.99,2,4.67,5,bike
16.27,1779.36,2,11.84,4,auto
12.15,3266.5,1,12.88,2,auto
273.37,4815.07,3,15.26,1,car
9.73,1327.25,1,2.49,5,bike
12.66,527.58,1,6.07,5,bike
24.46,3772.82,4,7.12,4,bus
11.86,2853.09,1,4.27,2,bike
206.32,4188.97,5,22.95,5,car
9.23,1702.43,1,0.52,5,bike
215.39,16638.35,2,8.56,1,car
220.17,2934.3,1,3.5,3,bus
2.32,2050.18,1,6.17,3,auto
4.55,1117.19,1,5.7,2,bike
13.23,2580.69,2,13.67,3,auto
12.1,2504.01,1,9.08,5,auto
7.69,2941.5,2,6.28,3,auto
6.45,1221.73,1,5.75,4,bike
12.72,2298.66,2,1.85,5,auto
6.7,2676.88,1,4.54,2,bike
13.08,1230.19,1,5.38,3,auto
258.39,1379.19,3,13.61,5,bus
12.08,1594.83,2,6.41,5,auto
150.33,13662.46,4,15.61,4,car
26.73,3403.63,4,14.97,3,bus
12.52,1806.2,1,6.88,4,bike
16.31,801.42,3,2.31,4,auto
5.62,2834.23,1,1.8,3,bike
35.6,5102.78,5,19.91,4,bus
7.51,650.36,1,7.66,2,bike
5.71,2139.31,1,5.45,3,bike
5.56,2366.23,1,6.79,2,bike
13.0,2765.36,1,7.87,2,bike
8.09,2830.04,1,4.75,3,bike
15.41,3368.99,3,8.04,5,auto
254.19,5384.98,2,1.31,5,bus
93.5,3615.47,1,4.88,5,bus
43.84,2363.25,3,19.29,5,bus
290.65,2995.48,4,3.21,4,bus
62.07,17073.54,4,24.75,1,car
3.5,3710.81,2,12.44,5,auto
236.59,22519.97,4,1.66,2,car
2.46,2601.1,2,0.98,2,bike
109.84,3682.23,1,8.71,5,bus
226.4,24017.98,3,12.36,2,car
11.31,2084.68,2,1.9,2,auto
258.88,5201.11,2,8.38,4,bus
128.42,13942.13,4,20.88,2,car
6.9,3324.75,2,11.98,4,auto
6.75,2599.65,2,2.83,3,bike
121.25,2828.88,4,0.94,3,bus
321.03,12729.27,2,27.84,2,car
225.2,4942.87,1,4.64,3,bus
176.04,23562.86,4,18.29,5,car
285.66,2206.21,4,14.05,3,bus
8.12,1976.75,1,6.53,5,auto
80.97,1352.36,5,15.24,4,bus
2.68,617.36,1,0.29,3,bike
234.35,1945.86,1,2.99,3,bus
172.5,1350.35,3,9.53,3,bus
35.99,4027.72,2,14.57,3,bus
10.29,1686.58,1,6.45,5,bike
9.93,1740.42,1,5.49,4,bike
165.78,4464.82,4,20.08,3,car
256.37,1626.86,4,9.68,3,bus
11.83,827.18,2,3.63,4,bike
12.27,1174.55,1,3.99,3,bike
8.09,1321.71,2,11.02,3,auto
12.92,1021.28,2,0.93,3,bike
8.52,2102.74,1,5.23,4,auto
13.66,950.31,3,1.37,5,auto
5.36,1068.49,1,3.03,2,bike
183.32,4306.42,3,18.47,4,bus
16.71,1363.51,1,0.2,3,auto
4.01,3272.87,1,10.16,2,auto
83.63,3447.04,5,10.3,3,bus
10.84,2704.74,3,8.65,2,auto
114.74,5209.85,3,10.52,5,bus
190.39,8298.99,2,15.6,2,car
14.48,1178.3,1,10.68,2,auto
53.1,2806.74,3,7.55,3,bus
4.2,2990.83,2,5.2,3,bike
10.87,3442.98,2,11.77,2,auto
3.26,1138.73,2,4.48,5,bike
161.69,1731.3,1,3.85,3,bus
198.06,4446.41,1,0.44,3,bus
8.09,1081.38,1,6.21,5,bike
4.81,2616.73,2,7.34,4,auto
81.36,1507.79,1,14.97,3,bus
5.52,608.5,2,7.35,5,bike
7.12,2760.4,1,4.11,5,bike
172.55,4608.93,2,27.61,5,car
16.44,1900.66,2,9.88,3,auto
4.71,2113.22,1,3.21,2,bike
59.07,10347.81,3,7.66,5,car
12.82,3061.22,2,4.69,5,auto
2.49,1454.23,2,7.66,5,auto
303.47,5645.1,4,15.11,1,car
1.94,1513.12,1,5.76,2,bike
103.27,4067.76,3,1.45,5,bus
10.99,2738.02,1,4.26,2,bike
86.48,12086.06,4,6.3,5,car
90.9,4616.62,3,12.45,5,bus
130.69,24812.19,5,17.05,4,car
184.43,4377.75,3,27.98,1,car
156.47,5254.17,4,9.06,4,bus
22.95,1411.42,1,9.28,5,bus
219.19,16289.09,4,27.93,1,car
3.24,3452.39,2,7.82,2,auto
123.23,21618.39,2,23.77,5,car
12.26,1631.45,3,13.44,5,auto
14.0,2501.32,2,4.17,4,auto
10.28,1279.28,1,4.37,3,bike
301.62,15144.6,2,13.49,1,car
277.25,2981.68,3,15.93,4,bus
5.08,2237.45,2,6.24,5,bike
4.47,2359.25,2,8.95,4,auto
207.39,4667.57,4,8.36,3,bus
7.78,2152.05,1,4.78,3,bike
7.2,3683.07,3,12.38,3,auto
2.19,828.92,2,13.89,3,auto
6.92,1984.08,2,11.85,3,auto
4.5,1504.28,2,10.65,4,auto
1.64,2052.01,1,1.67,4,bike
295.44,1225.79,1,14.41,5,bus
11.76,782.77,1,7.35,2,bike
227.64,3460.05,5,11.08,3,bus
13.2,2774.22,3,3.35,4,auto
2.39,1172.67,1,2.84,3,auto
21.02,5564.72,4,13.41,4,car
14.5,2074.33,2,13.4,4,auto
9.98,1818.44,3,9.67,5,auto
7.96,1865.71,3,5.75,5,auto
9.55,2873.27,1,7.63,3,bike
120.23,17302.75,3,25.9,1,car
238.81,4164.75,2,1.12,3,bus
9.34,1678.94,1,2.79,2,bike
131.62,4883.15,5,14.13,4,bus
4.89,3357.31,2,10.96,5,auto
14.48,1115.96,1,5.42,4,auto
16.69,1125.77,2,3.31,2,auto
11.73,1789.99,3,14.33,3,auto
264.54,1268.93,3,10.45,4,bus
300.56,14506.26,2,17.44,3,car
17.18,900.55,2,4.95,5,auto
6.71,1879.31,1,1.57,4,bike
232.02,8400.23,2,11.44,4,car
10.95,3451.16,2,10.45,4,auto
4.37,803.75,1,7.1,5,bike
9.66,752.81,1,5.61,3,bike
187.8,3311.69,1,6.38,3,bus
300.91,19484.83,3,20.38,4,car
5.71,836.04,1,7.92,2,bike
8.81,2529.38,1,7.05,5,bike
212.37,13542.87,4,12.18,5,car
5.4,1135.8,1,7.04,3,bike
279.93,20863.13,3,0.32,4,car
16.5,838.9,2,0.78,2,auto
145.1,3013.75,1,9.16,3,bus
265.16,22013.08,4,3.16,1,car
268.25,2849.24,2,4.98,4,bus
9.68,1904.98,1,2.52,4,bike
6.84,2372.54,2,8.44,4,auto
3.14,1940.72,1,3.39,2,bike
12.22,2898.94,1,0.88,5,bike
2.87,3195.66,2,0.0,3,auto
133.78,3182.83,2,15.34,4,bus
239.54,7945.98,5,26.43,1,car
68.71,1207.88,2,18.19,5,bus
147.75,18571.13,4,12.74,3,car
75.62,4525.24,1,7.4,3,bus
15.23,2479.15,2,3.52,4,auto
237.23,12572.99,4,22.21,1,car
4.86,3352.04,2,8.2,3,auto
43.46,3893.77,5,11.7,5,bus
13.5,3560.45,1,12.0,4,auto
6.28,550.18,1,1.69,3,bike
126.54,6624.09,2,9.51,1,car
135.85,2346.62,4,0.96,5,bus
12.08,2090.27,2,7.97,2,auto
11.39,2537.8,1,5.5,5,bike
17.21,2661.19,2,8.7,4,auto
167.27,4639.6,1,17.77,4,bus
8.44,3904.75,3,11.12,4,auto
109.52,4906.44,1,5.88,4,bus
7.67,3837.03,3,9.31,3,auto
4.07,2939.66,1,1.46,4,bike
10.87,1274.3,1,12.23,2,auto
295.55,2315.12,1,7.09,5,bus
162.92,23844.68,5,22.17,2,car
13.02,1572.49,1,6.04,2,bike
4.2,937.39,2,4.13,2,bike
257.19,8330.14,4,25.25,4,car
284.55,6895.79,3,22.88,5,car
6.6,2244.17,1,5.57,2,bike
158.95,2285.32,5,6.37,4,bus
133.44,2075.57,5,8.69,3,bus
91.98,3092.66,5,17.45,4,bus
135.57,18023.93,4,27.4,4,car
215.09,1434.88,5,4.71,3,bus
81.12,1587.03,1,3.08,4,bus
7.15,1442.36,1,2.41,4,bike
8.27,3666.16,1,7.62,2,auto
13.19,2285.22,1,2.72,4,bike
209.52,1288.43,5,14.79,4,bus
339.19,10752.38,3,28.77,2,car
248.82,4033.17,5,3.91,3,car
207.12,8520.12,2,5.65,3,car
94.91,3336.43,4,1.64,3,bus
14.84,3991.16,1,13.46,4,auto
3.69,3593.66,2,10.5,5,auto
10.35,738.84,1,3.61,3,bike
171.53,9041.78,2,1.04,5,car
4.44,1651.74,1,8.75,4,auto
11.83,2659.83,1,11.35,5,auto
12.33,945.87,3,12.63,5,auto
61.66,4467.72,4,12.73,2,car
266.88,5238.58,4,10.04,4,bus
151.69,8016.82,5,23.63,4,car
126.98,1127.03,3,13.33,3,bus
151.09,20191.81,2,3.81,1,car
9.79,704.4,2,7.37,2,bike
8.18,2516.01,1,0.42,4,bike
2.95,2745.65,1,2.54,4,bike
20.18,5333.92,4,2.58,4,bus
8.59,2878.7,1,7.31,2,bike
186.06,3201.52,5,4.85,4,bus
205.39,13229.66,4,3.95,5,car
22.55,1339.35,3,13.39,3,bus
13.59,1157.1,2,4.22,3,auto
59.35,2289.13,2,0.83,3,bus
181.59,5007.96,2,12.54,5,bus
97.81,24917.86,5,7.55,1,car
60.54,14450.64,3,1.03,2,car
190.92,8262.86,2,15.8,5,car
9.45,843.78,1,3.88,5,auto
165.13,9762.67,5,13.32,4,car
100.61,4261.13,5,9.5,4,bus
12.31,2405.71,1,3.48,4,bike
206.74,1461.38,5,2.79,5,bus
8.22,1722.12,1,1.12,5,bike
90.24,14504.16,5,14.77,5,car
114.85,3536.82,5,14.84,5,bus
157.67,24696.01,3,12.22,1,car
5.66,2326.37,1,1.33,4,bike
9.37,2804.69,1,1.57,2,bike
242.65,5408.97,4,8.65,5,car
8.51,1447.05,1,4.83,4,bike
15.09,1609.0,1,1.88,5,auto
286.39,1616.59,3,8.56,3,bus
9.64,2952.97,1,2.08,5,bike
62.35,2281.04,5,4.01,3,bus
150.02,17632.23,2,21.66,2,car
11.65,2475.52,1,7.06,4,auto
2.91,1996.55,3,9.63,3,auto
2.8,1337.8,1,1.29,5,bike
4.76,2617.52,1,14.07,3,auto
14.29,2401.53,2,3.74,3,auto
296.2,13411.59,2,11.96,4,car
3.93,1426.18,1,4.95,4,bike
3.95,1155.64,2,13.13,4,auto
114.98,17399.95,3,29.47,1,car
4.12,2697.65,2,5.3,4,auto
2.86,858.86,2,5.86,5,bike
322.7,22986.39,3,11.71,3,car
48.15,9699.01,4,24.36,3,car
25.45,1849.57,4,12.12,4,bus
16.14,2234.62,2,9.4,4,auto
8.44,2301.29,1,1.18,4,bike
252.02,13716.44,5,15.82,4,car
10.41,2437.38,1,9.69,2,auto
4.5,1723.56,1,7.9,2,bike
16.93,2205.11,3,7.68,2,auto
7.69,2956.78,1,3.16,3,auto
39.54,21058.66,4,24.24,4,car
70.62,2209.59,4,15.81,4,bus
6.26,1875.23,1,1.31,5,bike
5.88,898.22,1,2.54,2,bike
18.08,17172.43,3,11.24,4,car
9.8,2338.38,1,4.04,3,bike
159.22,5276.38,4,12.81,3,bus
111.88,20988.53,4,28.41,3,car
9.74,1239.08,1,3.65,5,bike
317.0,4729.54,4,0.42,4,car
13.1,1534.71,1,2.48,5,auto
42.84,1395.05,2,15.45,3,bus
2.06,2383.12,1,7.18,3,bike
3.61,2506.61,1,3.86,3,bike
8.66,3230.76,1,10.8,5,auto
9.23,1935.13,2,1.73,5,auto
6.07,2313.69,1,10.49,4,auto
4.73,3833.95,2,11.83,4,auto
6.66,1462.7,1,13.49,2,auto
122.06,16427.97,5,0.6,3,car
242.78,1348.67,3,8.21,5,bus
291.86,23189.07,4,24.95,3,car
7.56,961.12,1,10.38,4,auto
1.01,2980.53,1,4.89,2,bike
250.44,2057.64,3,8.1,4,bus
179.12,2236.0,3,5.21,4,bus
8.28,1619.01,1,1.33,5,bike
14.49,1138.27,1,7.83,4,bike
14.63,1081.93,1,4.95,5,bike
7.24,962.83,1,6.98,5,bike
91.31,3200.28,1,4.09,5,bus
6.81,1842.63,2,6.92,4,auto
13.07,2611.37,1,6.63,2,bike
14.17,1493.93,1,6.7,4,bike
4.47,2571.88,2,11.43,4,auto
4.24,2856.83,1,4.86,2,bike
6.63,2296.58,2,6.17,3,auto
31.18,3020.85,2,6.92,4,bus
56.58,2673.27,1,2.9,4,bus
28.51,8223.87,3,29.79,3,car
17.69,1487.03,1,8.92,2,auto
107.13,1940.76,1,9.31,3,bus
212.25,5873.67,2,15.06,2,car
144.26,24623.62,5,13.44,3,car
2.26,3302.95,1,11.96,2,auto
282.59,4047.15,3,1.45,3,bus
1.8,1827.92,2,0.31,4,bike
10.75,2946.16,2,3.06,4,auto
252.45,7735.48,2,7.14,2,car
5.58,872.22,1,7.01,2,bike
5.19,3648.69,1,5.52,2,auto
285.0,10079.46,3,24.99,3,car
5.04,3336.3,3,14.16,4,auto
132.48,3262.38,5,17.16,4,bus
136.44,1284.08,3,5.0,3,bus
3.7,788.21,1,6.36,4,bike
92.49,1237.72,2,2.03,5,bus
71.21,3553.49,2,10.75,3,bus
145.12,4500.93,3,1.02,4,bus
4.02,2057.23,1,0.41,5,bike
4.2,692.45,1,1.29,3,bike
12.05,1746.11,1,4.3,3,bike
9.77,888.12,2,14.46,5,auto
16.96,2002.58,2,7.14,4,auto
21.64,1353.29,4,12.74,4,bus
14.11,597.97,1,7.74,5,bike
215.03,12907.89,4,10.67,1,car
104.7,13553.97,3,20.27,3,car
230.14,9158.26,2,26.23,5,car
243.83,17875.28,2,12.47,2,car
164.94,21418.01,2,27.9,1,car
271.79,3805.77,5,6.32,5,bus
7.31,2390.41,1,5.32,5,bike
138.62,6845.85,3,2.48,1,car
247.23,5489.24,2,15.63,4,car
265.14,2361.1,5,17.43,4,bus
144.71,1379.15,3,16.24,4,bus
206.02,2545.2,3,0.17,4,bus
119.84,3012.86,2,6.58,3,bus
26.2,11701.79,5,8.38,2,car
17.24,1525.53,3,12.13,4,auto
14.89,2817.5,1,6.74,2,bike
13.41,1152.23,1,7.47,5,bike
5.99,2767.07,1,5.18,2,bike
168.27,2209.88,3,13.14,4,bus
9.18,1070.06,2,13.65,3,auto
337.53,6659.77,4,21.66,1,car
9.01,2950.83,1,2.45,5,bike
17.14,3656.19,2,11.71,3,auto
9.29,2780.91,1,4.98,5,bike
11.72,1585.13,1,5.87,4,auto
9.63,3098.66,1,9.61,4,auto
7.31,533.16,2,4.51,3,bike
17.02,3660.75,2,10.94,2,auto
20.06,5117.51,2,3.36,4,bus
14.38,545.58,1,0.06,4,bike
7.28,2986.14,1,0.14,3,bike
114.08,14408.73,3,17.13,5,car
8.75,2923.26,1,5.04,3,bike
3.14,1088.09,2,3.78,2,bike
228.8,4716.73,2,18.48,3,bus
4.27,605.23,1,7.9,2,bike
14.42,960.93,1,6.17,2,bike
175.35,4937.89,2,3.91,1,car
67.53,1430.38,2,1.12,4,bus
12.63,1437.59,1,1.9,2,auto
324.28,18474.87,2,1.3,2,car
284.88,5223.78,4,19.12,1,car
349.63,16763.02,2,28.82,3,car
4.75,2841.21,2,7.95,4,auto
13.4,2039.66,1,0.2,3,bike
8.8,920.23,1,11.48,2,auto
211.76,7658.42,5,13.49,1,car
8.06,821.47,2,11.88,4,auto
269.27,14741.1,3,4.83,1,car
11.13,2617.9,2,8.23,5,auto
208.26,4101.32,2,18.73,5,bus
72.07,5278.68,5,19.11,5,bus
141.88,3363.19,2,0.15,5,bus
12.33,2525.28,2,7.31,3,bike
140.96,1148.55,5,11.6,5,bus
9.85,1621.11,1,2.63,4,bike
6.96,1728.15,3,10.09,2,auto
4.77,2493.9,1,3.64,5,bike
140.5,1744.75,5,10.71,5,bus
1.73,1446.19,1,7.96,4,bike
98.78,3059.09,1,8.58,3,bus
81.8,1713.02,4,1.09,3,bus
5.49,3966.18,2,2.07,3,auto
238.29,20958.26,3,3.93,4,car
5.95,1959.14,1,7.8,5,bike
4.39,732.76,2,7.2,4,bike
9.64,2951.16,1,5.09,4,bike
11.69,850.28,2,3.9,3,bike
3.73,2306.13,1,0.19,2,bike
10.72,1328.77,2,15.0,2,auto
8.23,1307.39,1,2.17,5,bike
189.0,15865.68,3,7.86,5,car
85.44,15883.66,5,16.48,5,car
6.8,2658.8,2,3.73,4,bike
1.04,2670.75,1,4.78,5,bike
11.9,2929.17,2,9.67,4,auto
7.78,3551.34,2,4.92,5,auto
13.56,1684.9,1,1.38,3,bike
6.43,2108.22,1,4.36,2,bike
217.79,5828.72,3,10.39,1,car
316.75,23530.11,4,22.68,1,car
4.43,899.0,3,11.6,2,auto
230.99,11132.87,4,25.27,1,car
17.41,1167.21,2,2.54,5,auto
7.14,1943.72,1,3.13,3,bike
2.28,2693.65,1,1.04,2,bike
11.87,663.42,1,0.27,5,bike
215.63,9762.65,5,26.24,1,car
11.79,1995.07,1,1.59,5,auto
117.39,3791.06,2,2.51,5,bus
6.55,2729.74,1,4.11,3,bike
80.97,20323.21,5,28.74,2,car
7.97,2822.36,1,1.56,5,auto
33.72,3577.47,5,6.53,3,bus
2.66,793.82,1,5.97,2,bike
11.3,2995.87,2,5.14,2,bike
2.63,615.01,1,6.84,5,bike
323.78,19906.85,3,8.12,5,car
41.08,1505.79,3,4.4,5,bus
5.49,2917.87,2,8.9,4,auto
162.55,22924.73,4,17.31,5,car
161.44,9625.35,5,14.92,5,car
267.48,24330.36,3,27.17,4,car
11.39,2659.04,3,11.35,4,auto
13.7,1990.78,2,1.02,3,auto
1.27,1149.53,1,1.1,4,bike
1.53,1699.45,1,2.17,2,bike
265.45,24994.78,2,8.62,1,car
1.92,2553.78,1,6.55,4,bike
274.69,1027.83,2,18.75,5,bus
2.87,534.18,1,5.53,2,bike
123.78,24610.4,2,23.4,5,car
13.74,1171.81,2,11.78,2,auto
1.62,2630.48,1,2.63,2,bike
256.74,4595.87,5,4.66,3,bus
235.16,13219.61,2,1.84,1,car
7.92,643.9,1,3.53,4,bike
1.46,1362.68,1,5.45,2,bike
99.3,4966.35,1,6.47,3,bus
26.78,23148.25,3,2.25,2,car
5.86,2749.58,1,5.31,5,bike
3.34,861.21,1,13.36,3,auto
251.47,23144.41,4,24.04,1,car
100.31,24962.1,2,2.94,1,car
6.24,2876.79,1,4.79,4,bike
35.66,1639.82,1,9.2,3,bus
183.36,3088.92,4,3.73,3,bus
282.84,3215.63,2,17.11,4,bus
144.93,3492.91,1,9.1,4,bus
1.97,751.95,1,0.76,4,bike
69.66,1031.69,1,4.23,5,bus
3.81,2091.52,2,10.57,2,auto
227.78,23100.66,2,11.7,3,car
58.46,2245.91,2,18.62,5,bus
13.28,2256.55,2,12.56,3,auto
218.18,16689.45,4,11.36,5,car
238.6,5095.88,4,12.61,5,bus
145.01,9088.16,3,5.49,1,car
241.95,2256.15,4,4.93,5,bus
9.75,1454.85,1,0.97,3,bike
315.68,9557.64,2,29.9,5,car
197.78,4865.2,3,7.81,3,bus
77.83,4307.62,1,2.65,4,bus
4.13,2908.06,1,7.76,2,bike
17.63,1126.06,1,6.5,4,auto
229.0,1654.83,5,14.64,5,bus
3.26,2216.95,1,5.15,5,auto
12.14,2725.01,1,3.0,3,bike
9.35,1770.51,3,1.78,3,auto
105.43,1759.87,5,8.95,3,bus
9.95,2397.59,1,5.1,5,bike
8.81,1966.34,1,3.03,2,bike
257.7,2787.72,4,2.46,3,bus
3.15,1059.04,2,4.58,3,bike
196.99,3265.81,1,16.6,3,bus
22.95,2773.41,2,11.51,5,bus
242.52,24683.96,5,8.5,5,car
227.45,3978.37,5,16.18,4,bus
111.39,19478.33,3,12.33,4,car
75.07,5262.85,2,18.14,5,bus
9.54,2582.99,1,3.13,3,bike
2.79,2705.34,1,6.62,5,bike
7.71,1932.13,3,11.84,4,auto
4.43,893.35,1,2.67,2,bike
8.36,3916.16,2,4.13,4,auto
9.67,1308.75,1,5.03,2,bike
4.1,2739.19,3,0.67,2,auto
17.32,2610.38,2,1.28,2,auto
257.85,22790.0,3,26.61,5,car
60.74,4947.07,5,9.35,5,bus
11.59,1798.46,1,7.02,3,bike
253.25,3060.12,4,5.31,4,bus
84.5,23022.85,5,11.49,1,car
51.12,1136.87,4,17.55,5,bus
17.05,1197.91,3,14.56,2,auto
17.29,880.45,2,1.23,3,auto
7.6,2967.91,2,0.22,4,auto
199.69,11550.41,4,22.84,3,car
10.23,1787.1,2,4.88,4,auto
5.33,934.35,2,2.73,5,auto
15.37,1985.27,2,7.11,3,auto
187.89,3476.58,4,13.8,5,bus
6.05,3960.51,1,11.56,2,auto
160.08,2868.2,1,3.34,4,bus
35.26,4763.98,2,17.71,4,bus
76.5,5089.72,4,13.53,5,bus
260.38,1592.59,1,11.96,4,bus
12.06,1261.7,1,3.22,3,bike
3.13,1801.16,3,12.76,4,auto
150.68,23562.43,2,11.63,4,car
10.37,674.83,1,2.17,5,bike
2.23,1591.68,3,2.47,5,auto
3.2,2203.06,2,14.78,2,auto
13.31,1998.34,2,0.68,4,auto
163.11,3719.41,3,15.86,5,bus
12.66,1056.34,2,2.45,4,auto
286.72,8142.1,3,3.73,1,car
180.24,2988.34,2,7.76,3,bus
189.31,24480.14,3,22.43,2,car
32.16,2174.63,1,4.66,5,bus
188.7,11398.49,3,23.51,4,car
189.61,3843.46,5,10.93,5,bus
292.93,18782.67,4,17.18,4,car
83.14,7084.78,3,4.94,4,car
291.46,3042.67,3,14.72,3,bus
7.08,1630.04,1,1.35,5,auto
14.22,2668.0,1,6.41,5,bike
152.06,2023.67,4,1.51,5,bus
2.56,2563.71,2,12.59,2,auto
27.87,2688.95,2,9.15,3,bus
7.69,1068.54,2,10.16,4,auto
21.5,10867.14,4,22.06,1,car
12.82,2825.04,1,1.67,4,bike
4.13,2554.48,1,2.78,3,bike
258.57,3516.48,2,15.04,4,bus
9.87,3348.83,1,3.39,5,auto
90.16,14370.83,5,3.39,2,car
11.91,2718.81,2,5.26,2,auto
137.14,2999.78,5,1.36,4,bus
5.8,2439.56,1,5.77,2,auto
151.67,10815.64,4,8.07,5,car
4.58,1255.15,1,6.81,4,bike
3.72,1419.4,1,6.62,2,bike
110.64,4443.37,1,13.15,5,bus
15.22,2953.89,3,5.95,5,auto
2.99,1095.55,1,8.93,5,auto
142.29,13418.19,4,29.91,3,car
14.63,1342.1,1,7.35,3,bike
241.34,3042.81,3,7.68,5,bus
103.7,2848.67,1,7.77,3,bus
19.49,4408.37,3,2.23,2,car
13.35,1335.43,2,8.76,4,auto
12.16,874.79,1,5.78,3,bike
235.34,2914.78,5,6.36,4,bus
1.23,1780.23,1,5.16,5,bike
2.21,1747.02,2,6.17,5,auto
13.54,1473.0,1,7.24,5,bike
37.21,11702.92,2,19.66,2,car
157.49,2443.3,2,0.14,5,bus
4.09,2609.34,2,11.96,3,auto
223.3,5129.98,3,12.09,4,bus
208.52,11514.08,2,25.75,5,car
160.56,3624.08,3,1.09,3,bus
226.79,1287.08,3,4.85,4,bus
46.81,19291.85,4,17.9,1,car
190.46,4514.09,2,7.91,3,car
10.22,1130.77,1,3.91,2,bike
14.08,1379.06,1,3.89,5,bike
179.65,3745.88,3,10.75,3,bus
12.45,2651.83,1,4.09,2,bike
37.05,4157.04,1,15.55,4,bus
185.44,3937.28,5,12.44,3,bus
79.0,13255.85,2,7.43,2,car
3.23,1331.37,1,7.49,4,auto
11.53,2267.45,1,1.15,5,bike
43.31,4260.51,3,14.06,5,bus
71.91,1819.28,2,16.9,5,bus
211.46,4389.03,4,3.76,4,bus
143.36,20687.92,5,27.08,5,car
6.73,2924.24,3,0.76,5,auto
12.56,2248.29,1,7.85,3,bike
6.07,1745.5,2,10.18,5,auto
179.31,4429.79,1,6.24,5,bus
90.65,4928.69,5,1.07,5,bus
9.61,2829.89,3,1.57,3,auto
14.45,3234.72,1,1.33,2,auto
15.61,1902.73,1,0.78,2,auto
12.18,2994.84,1,6.14,2,bike
17.49,1013.01,2,1.11,3,auto
94.33,17173.66,3,3.82,2,car
257.0,5637.87,2,1.93,1,car
105.26,5423.26,2,0.94,3,bus
134.89,3118.15,1,5.74,3,bus
225.21,3287.6,5,5.32,5,bus
122.44,24242.24,3,4.42,2,car
17.42,1145.74,2,8.78,5,auto
130.72,4092.35,2,8.35,5,bus
66.0,4524.23,3,12.7,5,bus
1.64,1202.41,2,7.12,5,bike
156.29,8824.04,4,25.77,3,car
10.36,1758.61,1,7.51,3,auto
215.21,1374.5,1,19.94,3,bus
70.17,5010.13,2,5.09,5,bus
6.29,1955.44,2,10.2,2,auto
17.77,800.6,2,9.25,3,auto
35.33,1919.09,5,17.24,4,bus
113.53,1480.69,2,15.46,5,bus
195.06,5035.29,2,18.27,1,car
157.87,4765.28,1,5.54,3,bus
2.81,2163.59,3,12.08,2,auto
348.76,21756.58,2,27.41,4,car
3.36,2293.42,2,12.61,3,auto
7.14,1504.36,2,5.59,4,auto
3.94,2830.85,2,1.78,3,auto
2.61,2650.35,1,0.54,3,bike
5.21,2270.43,1,4.66,2,bike
3.45,542.9,1,6.46,5,bike
287.23,6700.17,3,20.58,1,car
1.8,1205.47,1,1.98,5,bike
2.07,1198.42,2,2.02,5,bike
8.08,2028.64,1,6.98,5,bike
116.35,3342.45,5,0.67,3,bus
336.46,12088.42,3,2.63,5,car
37.48,2727.76,5,2.05,3,bus
60.78,4138.44,2,20.0,5,bus
15.17,3302.45,2,1.5,3,auto
1.07,2069.74,1,0.57,3,bike
144.85,4188.63,3,7.22,4,bus
17.85,882.46,2,9.89,2,auto
179.97,3733.62,5,5.06,4,bus
231.62,21430.69,4,25.02,2,car
7.74,793.27,1,5.48,5,bike
9.87,1839.44,1,6.68,5,bike
285.01,9317.36,5,4.93,5,car
17.52,2200.52,1,10.57,4,auto
74.46,9296.69,3,1.91,2,car
278.9,3327.09,4,2.54,5,bus
9.23,3798.17,3,11.95,3,auto
18.16,20984.65,5,17.57,1,car
3.06,3252.85,2,11.73,2,auto
5.12,2285.15,1,4.28,2,bike
2.68,2990.8,3,12.56,2,auto
3.32,2864.25,1,5.35,3,bike
2.18,2240.37,3,1.55,3,auto
14.23,2795.98,2,0.58,4,auto
251.2,13470.72,3,24.17,3,car
182.35,13208.67,5,1.56,3,car
15.49,2352.3,2,11.87,3,auto
13.86,1130.6,1,3.68,5,bike
141.43,4818.12,3,19.72,3,bus
7.55,2194.06,2,4.17,3,auto
97.41,15173.82,2,12.08,3,car
14.91,2270.93,2,6.49,3,auto
13.12,613.05,1,3.01,2,bike
11.41,2029.85,1,1.21,3,bike
60.81,20044.77,2,6.95,4,car
15.2,3320.78,1,12.56,4,auto
15.55,875.5,3,11.75,2,auto
166.53,12912.17,2,19.84,2,car
6.29,1835.82,1,3.12,2,bike
7.75,3435.37,3,7.16,2,auto
194.36,20556.39,2,22.18,2,car
335.23,23389.29,5,10.69,5,car
15.73,3308.07,2,3.02,5,auto
1.49,1957.02,2,6.85,4,bike
81.12,1246.12,5,0.78,3,bus
210.47,4714.48,2,19.61,4,bus
1.44,2605.71,1,3.16,5,bike
7.46,2093.0,1,7.16,5,bike
2.99,1747.22,1,5.62,3,bike
111.36,1093.41,2,3.8,3,bus
133.58,1761.23,1,17.07,3,bus
302.4,10269.51,2,10.03,2,car
8.95,3115.03,1,8.84,2,auto
97.95,14635.58,4,0.63,1,car
330.22,14213.81,3,18.24,2,car
16.24,1069.76,3,12.92,5,auto
4.92,1246.72,2,11.43,2,auto
12.91,2364.94,1,7.46,4,bike
12.5,2512.49,1,0.52,5,auto
245.55,20485.14,3,6.16,1,car
13.34,2903.29,1,7.03,3,bike
7.67,1485.91,1,5.98,5,bike
