spot_name,district,category,year,month,season,festival,total_visitors,estimated_visitors
Dabeerpura Darwaza,Hyderabad,Fort,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),193,193
Dabeerpura Darwaza,Hyderabad,Fort,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",400,400
Dabeerpura Darwaza,Hyderabad,Fort,2025,November,Post-Monsoon,No Major Festival / Public Holiday,272,272
Dabeerpura Darwaza,Hyderabad,Fort,2025,December,Winter,Christmas,463,463
Devarakonda Fort,Nalgonda,Fort,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",9079,9079
Devarakonda Fort,Nalgonda,Fort,2024,February,Winter,No Major Festival / Public Holiday,6336,6336
Devarakonda Fort,Nalgonda,Fort,2024,March,Summer,"Maha Shivaratri, Holi",4639,4639
Devarakonda Fort,Nalgonda,Fort,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",4820,4820
Devarakonda Fort,Nalgonda,Fort,2024,May,Summer,May Day,5768,5768
Devarakonda Fort,Nalgonda,Fort,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",3716,3716
Devarakonda Fort,Nalgonda,Fort,2024,July,Monsoon,Bonalu,3583,3583
Devarakonda Fort,Nalgonda,Fort,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",3923,3923
Devarakonda Fort,Nalgonda,Fort,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",3727,3727
Devarakonda Fort,Nalgonda,Fort,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",7755,7755
Devarakonda Fort,Nalgonda,Fort,2024,November,Post-Monsoon,Diwali/Deepavali,5658,5658
Devarakonda Fort,Nalgonda,Fort,2024,December,Winter,Christmas,8659,8659
Devarakonda Fort,Nalgonda,Fort,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",9093,9093
Devarakonda Fort,Nalgonda,Fort,2025,February,Winter,Maha Shivaratri,6425,6425
Devarakonda Fort,Nalgonda,Fort,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",4903,4903
Devarakonda Fort,Nalgonda,Fort,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",4471,4471
Devarakonda Fort,Nalgonda,Fort,2025,May,Summer,May Day,5692,5692
Devarakonda Fort,Nalgonda,Fort,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",3741,3741
Devarakonda Fort,Nalgonda,Fort,2025,July,Monsoon,Bonalu,3533,3533
Devarakonda Fort,Nalgonda,Fort,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",3641,3641
Devarakonda Fort,Nalgonda,Fort,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),3867,3867
Devarakonda Fort,Nalgonda,Fort,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",7699,7699
Devarakonda Fort,Nalgonda,Fort,2025,November,Post-Monsoon,No Major Festival / Public Holiday,5774,5774
Devarakonda Fort,Nalgonda,Fort,2025,December,Winter,Christmas,8450,8450
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",958,958
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,February,Winter,No Major Festival / Public Holiday,978,978
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,March,Summer,"Maha Shivaratri, Holi",781,781
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",757,757
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,May,Summer,May Day,906,906
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",592,592
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,July,Monsoon,Bonalu,597,597
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",620,620
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",628,628
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",970,970
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,November,Post-Monsoon,Diwali/Deepavali,951,951
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2024,December,Winter,Christmas,977,977
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",1022,1022
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,February,Winter,Maha Shivaratri,992,992
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",737,737
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",791,791
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,May,Summer,May Day,869,869
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",628,628
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,July,Monsoon,Bonalu,597,597
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",609,609
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),611,611
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",963,963
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,November,Post-Monsoon,No Major Festival / Public Holiday,935,935
Devatala Gutta,Ranga Reddy,Cave/Hill/Viewpoint,2025,December,Winter,Christmas,1013,1013
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",17403,17403
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,February,Winter,No Major Festival / Public Holiday,10027,10027
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,March,Summer,"Maha Shivaratri, Holi",7279,7279
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",7229,7229
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,May,Summer,May Day,6775,6775
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",4648,4648
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,July,Monsoon,Bonalu,4587,4587
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",4330,4330
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",4324,4324
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",16418,16418
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,November,Post-Monsoon,Diwali/Deepavali,7032,7032
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2024,December,Winter,Christmas,7737,7737
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",16034,16034
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,February,Winter,Maha Shivaratri,7068,7068
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",7038,7038
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",6020,6020
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,May,Summer,May Day,6730,6730
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",4645,4645
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,July,Monsoon,Bonalu,4567,4567
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",4436,4436
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),4341,4341
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",16466,16466
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,November,Post-Monsoon,No Major Festival / Public Holiday,9093,9093
Dharmapuri Lakshmi Narasimha Swamy Temple,Jagtial,Temple,2025,December,Winter,Christmas,7747,7747
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",417,417
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,February,Winter,No Major Festival / Public Holiday,429,429
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,March,Summer,"Maha Shivaratri, Holi",349,349
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",321,321
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,May,Summer,May Day,396,396
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",260,260
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,July,Monsoon,Bonalu,260,260
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",266,266
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",276,276
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",389,389
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,November,Post-Monsoon,Diwali/Deepavali,384,384
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2024,December,Winter,Christmas,421,421
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",457,457
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,February,Winter,Maha Shivaratri,445,445
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",323,323
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",345,345
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,May,Summer,May Day,419,419
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",273,273
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,July,Monsoon,Bonalu,275,275
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",254,254
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),270,270
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",400,400
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,November,Post-Monsoon,No Major Festival / Public Holiday,419,419
Dichpally Ramalayam,Nizamabad,Other/Cultural Site,2025,December,Winter,Christmas,449,449
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",1000,1000
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,February,Winter,No Major Festival / Public Holiday,1040,1040
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,March,Summer,"Maha Shivaratri, Holi",781,781
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",763,763
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,May,Summer,May Day,929,929
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",600,600
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,July,Monsoon,Bonalu,585,585
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",604,604
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",613,613
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",961,961
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,November,Post-Monsoon,Diwali/Deepavali,935,935
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2024,December,Winter,Christmas,1031,1031
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",959,959
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,February,Winter,Maha Shivaratri,995,995
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",715,715
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",736,736
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,May,Summer,May Day,945,945
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",635,635
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,July,Monsoon,Bonalu,571,571
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",592,592
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),621,621
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",887,887
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,November,Post-Monsoon,No Major Festival / Public Holiday,926,926
Doli Gutta,Mulugu,Cave/Hill/Viewpoint,2025,December,Winter,Christmas,1027,1027
Domakonda Fort,Kamareddy,Fort,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",25704,25704
Domakonda Fort,Kamareddy,Fort,2024,February,Winter,No Major Festival / Public Holiday,17959,17959
Domakonda Fort,Kamareddy,Fort,2024,March,Summer,"Maha Shivaratri, Holi",13917,13917
Domakonda Fort,Kamareddy,Fort,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",14894,14894
Domakonda Fort,Kamareddy,Fort,2024,May,Summer,May Day,18277,18277
Domakonda Fort,Kamareddy,Fort,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",11072,11072
Domakonda Fort,Kamareddy,Fort,2024,July,Monsoon,Bonalu,11180,11180
Domakonda Fort,Kamareddy,Fort,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",11549,11549
Domakonda Fort,Kamareddy,Fort,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",11771,11771
Domakonda Fort,Kamareddy,Fort,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",24419,24419
Domakonda Fort,Kamareddy,Fort,2024,November,Post-Monsoon,Diwali/Deepavali,17025,17025
Domakonda Fort,Kamareddy,Fort,2024,December,Winter,Christmas,25974,25974
Domakonda Fort,Kamareddy,Fort,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",26866,26866
Domakonda Fort,Kamareddy,Fort,2025,February,Winter,Maha Shivaratri,17632,17632
Domakonda Fort,Kamareddy,Fort,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",14454,14454
Domakonda Fort,Kamareddy,Fort,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",14002,14002
Domakonda Fort,Kamareddy,Fort,2025,May,Summer,May Day,17858,17858
Domakonda Fort,Kamareddy,Fort,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",10700,10700
Domakonda Fort,Kamareddy,Fort,2025,July,Monsoon,Bonalu,11369,11369
Domakonda Fort,Kamareddy,Fort,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",11224,11224
Domakonda Fort,Kamareddy,Fort,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),11442,11442
Domakonda Fort,Kamareddy,Fort,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",22888,22888
Domakonda Fort,Kamareddy,Fort,2025,November,Post-Monsoon,No Major Festival / Public Holiday,17415,17415
Domakonda Fort,Kamareddy,Fort,2025,December,Winter,Christmas,26443,26443
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",775,775
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,February,Winter,No Major Festival / Public Holiday,751,751
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,March,Summer,"Maha Shivaratri, Holi",565,565
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",545,545
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,May,Summer,May Day,675,675
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",446,446
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,July,Monsoon,Bonalu,427,427
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",434,434
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",455,455
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",709,709
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,November,Post-Monsoon,Diwali/Deepavali,731,731
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2024,December,Winter,Christmas,788,788
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",762,762
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,February,Winter,Maha Shivaratri,742,742
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",579,579
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",589,589
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,May,Summer,May Day,658,658
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",445,445
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,July,Monsoon,Bonalu,468,468
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",443,443
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),453,453
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",697,697
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,November,Post-Monsoon,No Major Festival / Public Holiday,663,663
Durgam Cheruvu / Secret Lake,Ranga Reddy,Lake/Reservoir,2025,December,Winter,Christmas,737,737
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",721,721
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,February,Winter,No Major Festival / Public Holiday,777,777
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,March,Summer,"Maha Shivaratri, Holi",567,567
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",568,568
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,May,Summer,May Day,659,659
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",427,427
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,July,Monsoon,Bonalu,462,462
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",449,449
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",446,446
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",709,709
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,November,Post-Monsoon,Diwali/Deepavali,711,711
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2024,December,Winter,Christmas,719,719
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",759,759
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,February,Winter,Maha Shivaratri,717,717
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,March,Summer,"Holi, Ugadi, Eid-ul-Fitr",587,587
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,April,Summer,"Sri Rama Navami, Ambedkar Jayanti",580,580
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,May,Summer,May Day,727,727
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",426,426
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,July,Monsoon,Bonalu,426,426
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,August,Monsoon,"Krishna Ashtami, Vinayaka Chavithi, Independence Day",438,438
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,September,Monsoon,Bathukamma (Engili Pula to Saddula),437,437
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,October,Post-Monsoon,"Vijaya Dasami/Dussehra, Diwali/Deepavali",669,669
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,November,Post-Monsoon,No Major Festival / Public Holiday,723,723
Edulabad Lake,Medchal-Malkajgiri,Lake/Reservoir,2025,December,Winter,Christmas,727,727
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",16197,16197
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,January,Winter,"Bhogi, Sankranti/Pongal, New Year's Day, Republic Day",17291,17291
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,February,Winter,No Major Festival / Public Holiday,9190,9190
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,February,Winter,No Major Festival / Public Holiday,9941,9941
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,March,Summer,"Maha Shivaratri, Holi",7822,7822
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,March,Summer,"Maha Shivaratri, Holi",7463,7463
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",7798,7798
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,April,Summer,"Ugadi, Sri Rama Navami, Eid-ul-Fitr, Ambedkar Jayanti",7011,7011
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,May,Summer,May Day,6832,6832
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,May,Summer,May Day,6701,6701
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",4624,4624
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,June,Monsoon,"Bakrid/Eid-ul-Adha, Telangana Formation Day",4759,4759
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,July,Monsoon,Bonalu,13105,13105
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,July,Monsoon,Bonalu,13749,13749
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",4336,4336
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,August,Monsoon,"Raksha Bandhan, Krishna Janmashtami, Independence Day",4535,4535
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",13441,13441
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,September,Monsoon,"Ganesh Chaturthi, Engili Pula Bathukamma (start)",14264,14264
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",20969,20969
Edupayala Vana Durga Bhavani Temple,Medak,Temple,2024,October,Post-Monsoon,"Bathukamma (Saddula Bathukamma), Dussehra/Vijayadashami",20326,20326
